function_name,date,value
Bedroom Motion,2019-03-18,67
Bedroom Motion,2019-03-19,183
Bedroom Motion,2019-03-20,98
Bedroom Motion,2019-03-21,84
Bedroom Motion,2019-03-22,104
Bedroom Motion,2019-03-23,77
Bedroom Motion,2019-03-24,45
Bedroom Motion,2019-03-25,76
Bedroom Motion,2019-03-26,103
Bedroom Motion,2019-03-27,141
Bedroom Motion,2019-03-28,102
Bedroom Motion,2019-03-29,88
Bedroom Motion,2019-03-30,63
Bedroom Motion,2019-03-31,82
Entry Door,2019-03-01,8
Entry Door,2019-03-02,8
Entry Door,2019-03-03,22
Entry Door,2019-03-04,4
Entry Door,2019-03-05,24
Entry Door,2019-03-06,0
Entry Door,2019-03-07,8
Entry Door,2019-03-08,14
Entry Door,2019-03-09,0
Entry Door,2019-03-10,0
Entry Door,2019-03-11,10
Entry Door,2019-03-12,4
Entry Door,2019-03-13,6
Entry Door,2019-03-14,4
Entry Door,2019-03-15,2
Entry Door,2019-03-16,0
Entry Door,2019-03-17,4
Entry Door,2019-03-18,0
Entry Door,2019-03-19,34
Entry Door,2019-03-20,21
Entry Door,2019-03-21,18
Entry Door,2019-03-22,12
Entry Door,2019-03-23,4
Entry Door,2019-03-24,4
Entry Door,2019-03-25,14
Entry Door,2019-03-26,12
Entry Door,2019-03-27,24
Entry Door,2019-03-28,12
Entry Door,2019-03-29,12
Entry Door,2019-03-30,12
Entry Door,2019-03-31,8
Hot Water Kettle Kitchen Power,2019-03-01,40
Hot Water Kettle Kitchen Power,2019-03-02,35
Hot Water Kettle Kitchen Power,2019-03-03,57
Hot Water Kettle Kitchen Power,2019-03-04,38
Hot Water Kettle Kitchen Power,2019-03-05,35
Hot Water Kettle Kitchen Power,2019-03-06,34
Hot Water Kettle Kitchen Power,2019-03-07,37
Hot Water Kettle Kitchen Power,2019-03-08,34
Hot Water Kettle Kitchen Power,2019-03-09,35
Hot Water Kettle Kitchen Power,2019-03-10,31
Hot Water Kettle Kitchen Power,2019-03-11,38
Hot Water Kettle Kitchen Power,2019-03-12,37
Hot Water Kettle Kitchen Power,2019-03-13,39
Hot Water Kettle Kitchen Power,2019-03-14,27
Hot Water Kettle Kitchen Power,2019-03-15,31
Hot Water Kettle Kitchen Power,2019-03-16,39
Hot Water Kettle Kitchen Power,2019-03-17,34
Hot Water Kettle Kitchen Power,2019-03-18,35
Hot Water Kettle Kitchen Power,2019-03-19,34
Hot Water Kettle Kitchen Power,2019-03-20,37
Hot Water Kettle Kitchen Power,2019-03-21,41
Hot Water Kettle Kitchen Power,2019-03-22,42
Hot Water Kettle Kitchen Power,2019-03-23,35
Hot Water Kettle Kitchen Power,2019-03-24,38
Hot Water Kettle Kitchen Power,2019-03-25,38
Hot Water Kettle Kitchen Power,2019-03-26,33
Hot Water Kettle Kitchen Power,2019-03-27,31
Hot Water Kettle Kitchen Power,2019-03-28,31
Hot Water Kettle Kitchen Power,2019-03-29,37
Hot Water Kettle Kitchen Power,2019-03-30,28
Hot Water Kettle Kitchen Power,2019-03-31,31
Kitchen Illuminance,2019-03-01,24
Kitchen Illuminance,2019-03-02,24
Kitchen Illuminance,2019-03-03,24
Kitchen Illuminance,2019-03-04,25
Kitchen Illuminance,2019-03-05,25
Kitchen Illuminance,2019-03-06,24
Kitchen Illuminance,2019-03-07,25
Kitchen Illuminance,2019-03-08,25
Kitchen Illuminance,2019-03-09,25
Kitchen Illuminance,2019-03-10,24
Kitchen Illuminance,2019-03-11,24
Kitchen Illuminance,2019-03-12,25
Kitchen Illuminance,2019-03-13,24
Kitchen Illuminance,2019-03-14,24
Kitchen Illuminance,2019-03-15,25
Kitchen Illuminance,2019-03-16,24
